game_id	game_date	away_team_id	away_team_name	away_g	away_r	away_ab	away_h	away_two_b	away_three_b	away_total_b	away_hr	away_rbi	away_bb	away_hbp	away_sf	away_sh	away_k	away_dp	away_sb	away_cs	away_picked	home_team_id	home_team_name	home_g	home_r	home_ab	home_h	home_two_b	home_three_b	home_total_b	home_hr	home_rbi	home_bb	home_hbp	home_sf	home_sh	home_k	home_dp	home_sb	home_cs	home_picked	neutral
4543566	03/31/2018	/team/165/12973	Coppin St.		5	32	11	1		12		5	2	1		3	7		2		3	/team/485/12973	Norfolk St.		6	35	11	3	2	21	1	6	4		1	1	10				4	0
4543565	03/31/2018	/team/28/12973	Arizona St.		7	38	12	2		14		7	3	1	1		9					/team/754/12973	Washington St.			32	6	3		9			1				7	1				0
4543562	03/31/2018	/team/342/12973	Lafayette		9	39	13	2		21	2	9	3	1			5					/team/726/12973	Navy		20	45	21	4	1	30	1	16	4	1			4	1			1	0
4543560	03/31/2018	/team/342/12973	Lafayette			22	1			1			1				15					/team/726/12973	Navy		6	27	9	3		12		5	5	1			2					0
4499998	02/18/2018	/team/698/12973	TCU		8	46	12	2		17	1	5	6	2			9		2			/team/1104/12973	Grand Canyon		9	48	12	2		17	1	9	1	1		2	15				1	0
4499997	02/16/2018	/team/534/12973	Pacific		5	35	8	3		11		4	5	1		1	8				1	/team/1356/12973	Seattle U		6	33	12	2	1	16		6	3	1		1	7	1	2			0
4503478	02/23/2018	/team/742/12973	Virginia Tech		1	34	6			9	1	1	1			1	12	2				/team/312/12973	Iowa		2	33	4			7	1	1	3	1			15	1			1	1
4581729	05/13/2018	/team/562/12973	Quinnipiac		3	27	6			12	2	3					8					/team/386/12973	Marist		5	27	9		1	14	1	5	3	2			5					0
4539327	03/27/2018	/team/1320/12973	Presbyterian			27	1			1			3			1	15					/team/193/12973	Duke		8	37	15	1		16		7	4		1		2	1			4	0
4539329	03/25/2018	/team/488/12973	N.C. A&T		3	42	8	2		10		3	3	1	1	1	7	1				/team/61/12973	Bethune-Cookman		4	41	11	1		12		4	1	3		1	5	2	1		1	0
4581723	05/13/2018	/team/251/12973	Georgetown		5	34	10	1		14	1	5	2				6		3		2	/team/87/12973	Butler		3	37	11	3		14		3	1	1			6	1				0
4550605	04/08/2018	/team/2915/12973	Wofford		3	34	8	2		13	1	2	1	1		1	10					/team/460/12973	UNCW		4	31	8			11	1	4	3			1	3		1			0
4584937	05/24/2018	/team/527/12973	Oral Roberts		6	36	9	2		14	1	6	7				5	1				/team/493/12973	North Dakota St.		4	32	7	2		9		4	3	1		1	9	1				0
4581726	05/13/2018	/team/706/12973	UTSA		11	38	16	4		23	1	11	5	1	2	1	4	1	1		1	/team/523/12973	Old Dominion		3	33	9	2		11		2	4			1	6	3				0
4584931	05/24/2018	/team/328/12973	Kansas		5	33	5	3		11	1	3	3				7					/team/51/12973	Baylor		10	36	11	3		23	3	9	7	3			5					1
4550601	04/08/2018	/team/128/12973	UCF		6	32	7	1		8		6	10	4	1	2	4		1		2	/team/164/12973	UConn		7	33	11		1	13		6	5	1		1	9		1		2	0
4580881	05/11/2018	/team/312/12973	Iowa		6	39	11	2		13		6	2	1		1	11	1			2	/team/509/12973	Northwestern		7	38	10	2		18	2	4	6	1		1	7		1			0
4543690	03/31/2018	/team/1014/12973	Col. of Charleston		5	36	8	2		13	1	4	1			1	5					/team/1068/12973	Elon		7	31	9	1		10		5	2	1	2		10	1			1	0
4577393	05/05/2018	/team/632/12973	Savannah St.			31	6	1		7			1	1			3		2			/team/488/12973	N.C. A&T		5	32	6			6		3	3	1			9				2	0
4577390	05/05/2018	/team/327/12973	Kansas St.			30	3			3			3	1			10					/team/522/12973	Oklahoma		2	27	6	1		7		2	1		1	1	1		1		1	0
4516127	03/05/2018	/team/285/12973	Holy Cross		7	36	10			19	3	7	4	1	1		23					/team/406/12973	Mercer		3	36	8	2		13	1	3	4	1			15					0
4577395	05/05/2018	/team/228/12973	Florida A&M		1	24	3			3		1		2			10				1	/team/489/12973	N.C. Central		6	27	9	3		15	1	6	3				6	1			2	0
4567912	04/24/2018	/team/236/12973	Fordham		4	31	7	1		8		4	5	2		1	6		2		4	/team/813/12973	Yale		3	32	5		1	10	1	3	2				6					0
4567914	04/24/2018	/team/393/12973	UMES		1	31	7			7		1	3	1			7	2			2	/team/340/12973	La Salle		6	35	12	4		19	1	6	4				1	2			4	0
