player_id	team_id	team_name	Jersey	Player	Yr	Pos	GP	GS	G	App	GS	ERA	IP	CG	H	R	ER	BB	SO	SHO	BF	P-OAB	2B-A	3B-A	Bk	HR-A	WP	HB	IBB	Inh Run	Inh Run Score	SHA	SFA	Pitches	GO	FO	W	L	SV	KL
1888743	768	West Virginia	7	White, Brandon	So	OF	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1650152	768	West Virginia	3	Galusky, Jimmy	Jr	INF	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773595	768	West Virginia	31	Hill, Darius	Jr	OF	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773593	768	West Virginia	9	Gray, Kyle	Jr	INF	55	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773608	768	West Virginia	32	Gonzalez, Ivan	Jr	C	53	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773596	768	West Virginia	25	Inman, Marques	So	INF	52	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773612	768	West Virginia	26	Zarbnisky, Braden	Jr	UT	49	49	0	15	4	4.62	37.0	0	39	22	19	15	35	0	161	138	13	2	1	4	1	1	1	9	7	2	5	610	35	35	2	3	2	13
1773610	768	West Virginia	45	Zitel, Andrew	Jr	INF	44	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998244	768	West Virginia	1	Doanes, Tyler	Fr	INF	43	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1888723	768	West Virginia	24	Illig, Chase	So	C	41	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998263	768	West Virginia	17	Hudson, Tristen	Fr	UT	34	0	0	24	0	5.13	26.1	0	28	20	15	15	25	0	129	105	5	0	0	1	1	5	1	24	13	3	1	469	33	18	2	0	0	7
1888724	768	West Virginia	41	Kearns, Isaiah	So	UT	33	20	0	13	11	4.27	46.1	0	45	25	22	24	53	0	209	177	5	1	1	6	0	2	0	2	0	3	3	786	35	44	3	4	0	14
1888727	768	West Virginia	47	Manoah, Alek	So	UT	31	10	0	23	8	4.00	54.0	0	53	36	24	28	60	0	258	210	11	0	1	3	7	15	1	7	3	1	4	962	54	45	3	5	2	11
1650150	768	West Virginia	8	Ennis, Shane	Sr	P	30	1	0	30	1	3.22	44.2	0	36	20	16	32	34	0	196	156	9	0	0	2	3	3	1	42	15	5	0	707	54	30	4	3	3	7
1888725	768	West Virginia	42	Kessler, Sam	So	P	25	0	0	25	0	2.86	28.1	0	25	17	9	12	32	0	134	110	3	0	1	1	3	9	0	20	11	1	2	490	22	28	4	0	4	5
1998265	768	West Virginia	27	Hamilton, Connor	Fr	C	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1650158	768	West Virginia	33	Myers, BJ	Sr	P	22	17	0	19	14	4.19	77.1	0	86	54	36	25	59	0	350	304	18	3	1	4	5	13	1	2	1	3	5	1,227	74	82	2	2	1	15
1888740	768	West Virginia	5	Strowd, Kade	So	P	21	19	0	15	13	5.74	62.2	0	67	41	40	36	61	0	290	243	18	1	0	3	2	7	0	2	0	1	3	1,030	45	71	4	7	0	25
1888720	768	West Virginia	13	Brophy, Kevin	So	INF	18	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998290	768	West Virginia	20	Young, Christian	Jr	P	17	3	0	17	3	5.88	33.2	0	29	23	22	14	35	0	151	132	7	1	1	6	6	4	1	7	1	0	1	519	21	45	3	1	0	11
1998289	768	West Virginia	23	Wolf, Jackson	Fr	P	17	2	0	17	2	4.07	24.1	0	19	15	11	15	24	0	107	87	7	1	0	2	1	4	0	15	5	1	0	408	18	27	1	1	0	4
1773609	768	West Virginia	4	Wood, Cody	So	P	15	0	0	15	0	4.70	23.0	0	24	12	12	14	14	0	108	92	5	0	0	2	2	1	4	22	9	0	1	369	22	28	0	0	0	0
1773597	768	West Virginia	12	Lake, TJ	Jr	OF	11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1649078	768	West Virginia	18	Reid, Zach	Jr	P	11	0	0	11	0	5.79	9.1	0	8	6	6	2	12	0	41	36	1	1	0	2	0	3	0	17	2	0	0	162	10	4	1	0	0	3
1998287	768	West Virginia	16	Meadows, Dillon	So	P	10	0	0	10	0	5.00	9.0	0	8	6	5	5	5	0	40	34	2	0	0	1	1	1	0	11	3	0	0	145	6	15	0	0	0	0
1888722	768	West Virginia	37	Denicola, Nick	Fr	C	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1998288	768	West Virginia	50	Snyder, Nick	So	P	7	0	0	7	0	22.50	4.0	0	4	13	10	13	6	0	29	15	1	0	0	1	2	0	0	5	2	0	1	128	3	2	0	0	0	3
1650149	768	West Virginia	10	Dotson, Conner	Jr	P	5	0	0	5	0	7.20	5.0	0	8	6	4	3	5	0	25	20	2	0	0	0	2	1	0	4	1	1	0	103	3	4	0	1	0	3
1888741	768	West Virginia	6	Troutt, Riley	So	P	5	0	0	5	0	15.43	4.2	0	9	8	8	4	2	0	27	21	2	0	0	1	2	0	0	4	2	0	2	103	3	10	0	0	0	1
1773611	768	West Virginia	40	Potock, Jacob	So	P	3	0	0	3	0	11.57	2.1	0	5	3	3	3	0	0	15	12	1	0	0	1	0	0	1	5	1	0	0	39	2	5	0	0	0	0
1878347	2711	North Florida	24	Murphy, Tanner	So	OF	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1978069	2711	North Florida	42	Prather, Jay	Jr	INF	52	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1752586	2711	North Florida	21	Berry, Chris	Jr	OF	52	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1878345	2711	North Florida	3	Wilson, Mac	Sr	INF	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
