team_id	team_name	team_games	team_BA	team_OBPpct	team_SLGpct	team_AB	team_R	team_H	team_2B	team_3B	team_TB	team_HR	team_RBI	team_BB	team_HBP	team_SF	team_SH	team_K	team_DP	team_SB	team_CS	team_Picked	opp_team_games	opp_team_BA	opp_team_OBPpct	opp_team_SLGpct	opp_team_AB	opp_team_R	opp_team_H	opp_team_2B	opp_team_3B	opp_team_TB	opp_team_HR	opp_team_RBI	opp_team_BB	opp_team_HBP	opp_team_SF	opp_team_SH	opp_team_K	opp_team_DP	opp_team_SB	opp_team_CS	opp_team_Picked
768	West Virginia		0.280	0.364	0.423	1,926	319	540	105	16	815	46	287	230	35	21	31	398	42	95	36			0.263	0.367	0.408	1,524	266	401	89	9	622	38	238	205	59	22	16	382	45	33	18	
2711	North Florida		0.267	0.349	0.373	1,907	305	510	78	12	711	33	272	208	37	14	18	353	36	54	23			0.272	0.340	0.399	1,554	250	423	76	5	620	37	234	134	32	13	19	338	35	46	16	
669	Missouri St.		0.261	0.376	0.422	1,750	348	457	89	12	738	56	319	272	66	25	33	453	41	58	11			0.238	0.347	0.360	1,646	238	391	77	5	592	38	220	221	60	7	29	420	39	49	11	
665	Southern U.		0.254	0.365	0.335	1,390	225	353	65	9	466	10	191	187	67	18	19	363	28	74	41			0.298	0.405	0.442	1,408	315	420	79	8	623	36	294	207	67	32	31	185	38	76	24	
664	Southern Miss.		0.304	0.409	0.469	2,067	478	629	112	11	970	69	431	309	78	28	32	501	39	51	25			0.245	0.311	0.338	1,593	184	391	61	9	539	23	173	119	39	16	14	411	27	40	19	
219	Evansville		0.258	0.339	0.374	1,710	234	441	81	9	639	33	214	172	44	12	34	394	43	54	17			0.275	0.387	0.411	1,340	269	368	81	12	551	26	241	205	57	28	35	323	23	56	16	
769	Western Caro.		0.269	0.337	0.386	1,982	270	534	92	10	766	40	255	157	54	17	27	496	46	37	14			0.309	0.409	0.475	1,571	365	485	105	11	747	45	333	215	69	23	30	332	26	65	26	
498	La.-Monroe		0.251	0.356	0.364	1,786	308	448	78	8	650	36	272	237	67	22	43	427	42	73	28			0.282	0.374	0.437	1,582	305	446	92	6	691	47	276	195	51	21	21	348	26	69	18	
136	Chicago St.		0.239	0.321	0.316	1,692	206	405	65	4	535	19	184	177	32	10	23	404	44	44	22			0.315	0.430	0.503	1,566	405	494	101	20	788	51	352	252	87	32	17	273	29	86	17	
90	Cal Poly		0.290	0.371	0.399	1,989	320	577	104	16	794	27	285	209	55	15	37	385	55	28	13			0.285	0.363	0.393	1,610	274	459	81	9	633	25	254	180	31	25	30	336	44	25	15	
490	NC State		0.288	0.388	0.476	1,900	391	547	82	16	904	81	354	294	34	29	33	475	32	63	23			0.235	0.324	0.344	1,533	201	360	68	5	528	30	178	161	48	15	17	395	35	36	14	
102	Sacramento St.		0.259	0.349	0.397	2,034	332	526	101	14	808	51	292	242	55	26	22	520	37	68	23			0.254	0.319	0.354	1,561	194	396	80	10	553	19	170	105	53	16	27	375	30	25	15	
493	North Dakota St.		0.254	0.348	0.362	1,661	264	422	72	18	602	24	236	213	39	24	21	365	32	33	14			0.278	0.374	0.389	1,313	200	365	52	14	511	22	185	158	50	12	29	298	39	35	14	
692	Tennessee Tech		0.342	0.436	0.602	2,114	596	723	133	16	1,272	128	558	321	53	29	11	403	58	29	8			0.257	0.357	0.414	1,593	259	410	69	12	659	52	236	203	50	12	19	427	32	34	10	
27	Appalachian St.		0.209	0.299	0.319	1,771	190	371	93	10	565	27	178	178	53	9	15	482	38	41	9			0.269	0.364	0.388	1,571	251	422	70	9	609	33	221	187	55	9	21	374	30	51	26	
697	Texas A&M		0.284	0.362	0.419	2,057	348	584	89	19	861	50	311	222	44	22	25	427	54	40	5			0.238	0.316	0.338	1,623	191	386	71	7	549	26	174	149	42	11	27	398	40	40	15	
694	Tennessee		0.254	0.361	0.380	1,868	295	474	89	10	709	42	270	258	65	16	19	467	43	47	15			0.275	0.359	0.418	1,730	276	476	81	8	723	50	249	186	48	13	22	337	46	67	13	
695	UT Martin		0.259	0.338	0.394	1,764	258	456	92	12	695	41	228	163	55	15	8	509	47	34	14			0.324	0.423	0.546	1,597	423	518	97	13	872	77	390	227	61	21	22	297	30	51	21	
698	TCU		0.261	0.378	0.379	1,872	332	488	79	13	710	39	290	313	52	21	10	437	42	83	23			0.233	0.320	0.334	1,530	193	357	64	6	511	26	172	153	46	10	26	443	29	27	14	
699	Texas Southern		0.307	0.401	0.434	1,800	370	552	98	9	782	38	326	213	82	19	25	354	43	114	31			0.274	0.387	0.389	1,557	280	426	63	10	605	32	253	232	71	23	24	322	30	58	24	
28	Arizona St.		0.290	0.366	0.446	1,890	310	549	96	24	843	50	284	200	34	17	26	425	60	35	26			0.265	0.359	0.375	1,570	263	416	84	13	589	21	233	187	52	18	28	365	37	36	11	
29	Arizona		0.285	0.393	0.423	1,865	385	531	103	16	789	41	344	278	75	33	48	351	42	32	18			0.243	0.328	0.331	1,495	170	363	61	13	495	15	158	160	37	13	28	357	31	12	15	
94	CSU Bakersfield		0.266	0.338	0.342	1,904	261	507	72	14	652	15	227	165	52	22	21	344	57	45	25			0.303	0.392	0.452	1,619	335	491	86	14	731	42	298	191	59	21	34	307	38	37	22	
288	Houston		0.259	0.357	0.361	1,980	296	513	94	9	715	30	268	255	58	20	34	444	42	80	22			0.229	0.319	0.326	1,575	197	361	59	8	514	26	169	162	53	17	22	409	41	54	20	
346	Lamar University		0.241	0.330	0.297	1,822	215	440	60	3	542	12	197	196	53	15	26	407	55	43	13			0.270	0.355	0.363	1,687	258	456	74	5	612	24	229	180	53	19	28	356	38	51	21	
404	Memphis		0.237	0.331	0.325	1,813	232	430	84	5	590	22	207	203	61	21	25	415	33	27	25			0.261	0.351	0.366	1,603	234	419	63	9	587	29	211	174	52	9	22	423	30	38	22	
340	La Salle		0.256	0.340	0.351	1,897	242	486	91	13	666	21	214	192	60	21	21	444	39	57	28			0.298	0.389	0.467	1,681	346	501	120	25	785	38	310	212	56	27	22	368	28	111	24	
402	McNeese		0.267	0.360	0.402	1,912	301	510	92	11	768	48	274	228	61	17	32	406	66	61	29			0.267	0.376	0.387	1,647	285	440	84	15	638	28	256	220	72	10	36	406	43	70	20	
342	Lafayette		0.242	0.337	0.358	1,662	238	403	71	17	595	29	205	196	47	11	16	466	29	47	20			0.302	0.394	0.432	1,666	360	503	103	19	719	25	307	238	34	30	25	319	35	62	21	
400	Massachusetts		0.245	0.337	0.322	1,478	186	362	68	5	476	12	172	164	49	16	24	377	34	24	12			0.278	0.372	0.407	1,257	239	349	71	11	511	23	210	163	38	19	21	256	27	52	19	
810	Wright St.		0.298	0.398	0.444	1,875	427	559	114	18	832	41	392	260	78	41	22	307	40	110	18			0.242	0.336	0.361	1,448	198	350	60	7	523	33	179	176	36	15	19	323	44	37	12	
8	Alabama		0.256	0.369	0.389	1,889	310	483	104	8	735	44	289	270	78	15	16	466	38	34	17			0.269	0.340	0.369	1,657	235	445	61	2	612	34	221	170	21	20	27	335	38	30	15	
283	Hofstra		0.235	0.334	0.355	1,502	207	353	78	9	533	28	182	193	35	11	20	491	35	38	16			0.222	0.323	0.319	1,260	150	280	46	5	402	22	133	153	39	9	23	321	24	29	18	
26172	A&M-Corpus Christi		0.290	0.374	0.405	1,958	343	568	98	20	793	29	314	220	64	34	13	384	38	70	23			0.265	0.367	0.383	1,724	290	457	74	12	660	35	268	226	63	17	24	419	36	38	9	
285	Holy Cross		0.237	0.316	0.325	1,450	177	344	51	8	471	20	156	145	29	16	30	468	26	35	13			0.256	0.375	0.382	1,357	246	348	70	13	519	25	214	222	45	14	19	344	28	47	15	
287	Houston Baptist		0.265	0.352	0.412	2,003	315	531	87	12	825	61	292	218	57	15	44	494	45	60	46			0.276	0.356	0.402	1,636	231	451	83	12	657	33	212	153	61	19	29	319	35	34	16	
817	Youngstown St.		0.243	0.349	0.362	1,849	263	449	83	3	670	44	230	272	39	19	21	493	38	86	22			0.297	0.401	0.435	1,499	336	445	88	16	652	29	291	242	34	21	25	328	31	61	18	
700	Texas Tech		0.309	0.423	0.509	1,931	469	597	120	23	982	73	435	320	78	24	8	401	56	71	20			0.234	0.355	0.347	1,639	244	384	81	5	568	31	215	266	48	15	16	458	44	71	10	
678	Stetson		0.252	0.341	0.375	1,817	308	458	100	21	681	27	277	215	43	22	25	402	26	77	29			0.201	0.291	0.271	1,550	156	312	47	2	420	19	143	157	42	8	29	502	20	35	19	
522	Oklahoma		0.273	0.372	0.410	2,006	356	547	116	14	823	44	326	289	47	34	45	512	32	40	24			0.236	0.318	0.352	1,658	222	392	74	5	584	36	201	173	35	18	15	464	37	38	11	
1092	Gardner-Webb		0.276	0.361	0.415	1,945	348	537	91	13	807	51	314	224	50	26	22	449	33	77	24			0.275	0.370	0.420	1,565	261	431	86	12	658	39	221	196	45	10	22	322	33	46	11	
718	Tulane		0.265	0.355	0.405	1,973	337	522	118	8	800	48	308	217	71	18	18	483	42	49	9			0.274	0.385	0.402	1,635	310	448	95	6	657	34	275	253	58	23	37	331	38	67	19	
674	Stanford		0.283	0.369	0.447	1,800	361	509	98	18	805	54	333	205	53	23	27	390	29	50	24			0.215	0.294	0.305	1,405	136	302	55	1	428	23	125	124	37	8	12	337	21	13	17	
454	Murray St.		0.286	0.402	0.453	1,900	410	544	114	10	861	61	370	321	61	23	11	499	52	50	21			0.307	0.413	0.472	1,616	369	496	103	17	762	43	331	247	64	28	20	331	38	52	18	
1157	Kennesaw St.		0.274	0.354	0.397	1,897	315	519	99	9	753	39	283	203	45	19	28	429	32	43	19			0.254	0.361	0.374	1,463	246	371	62	6	547	34	232	211	44	16	24	353	33	40	20	
670	Texas St.		0.264	0.358	0.378	1,950	307	515	86	11	737	38	267	250	48	21	39	396	49	60	24			0.248	0.353	0.360	1,493	232	370	72	10	537	25	197	201	51	18	27	328	47	47	19	
