"","Player","team_name","AB","TB","BA","OBPct","SlgPct","OPS","TA","ISO","SECA","RC","RC27","conference"
"1","White, Brandon","West Virginia",201,72,0.289,0.392,0.358,0.75,0.742138364779874,0.069,0.288557213930348,30.3974273858921,5.77979253112033,"Big 12"
"2","Galusky, Jimmy","West Virginia",194,80,0.253,0.332,0.412,0.744,0.72258064516129,0.159,0.293814432989691,26.9560180995475,4.91765195059313,"Big 12"
"3","Hill, Darius","West Virginia",240,115,0.329,0.362,0.479,0.841,0.783132530120482,0.15,0.2,41.9629885057471,6.74405172413793,"Big 12"
"4","Gray, Kyle","West Virginia",198,134,0.374,0.462,0.677,1.139,1.33333333333333,0.303,0.505050505050505,64.5117991631799,13.5024695922935,"Big 12"
"5","Gonzalez, Ivan","West Virginia",200,65,0.255,0.32,0.325,0.645,0.544871794871795,0.07,0.16,20.7440358744395,3.56744565993545,"Big 12"
"6","Inman, Marques","West Virginia",191,101,0.319,0.387,0.529,0.916,0.925925925925926,0.21,0.319371727748691,39.7038709677419,7.76814866760168,"Big 12"
"7","Zarbnisky, Braden","West Virginia",185,58,0.259,0.403,0.314,0.717,0.862068965517241,0.055,0.394594594594595,31.8307053941909,6.0099933261759,"Big 12"
"8","Zitel, Andrew","West Virginia",115,35,0.235,0.318,0.304,0.622,0.565217391304348,0.069,0.2,12.1050746268657,3.5143765045739,"Big 12"
"9","Doanes, Tyler","West Virginia",101,48,0.317,0.407,0.475,0.882,0.932432432432432,0.158,0.306930693069307,20.4625396825397,6.82084656084656,"Big 12"
"10","Illig, Chase","West Virginia",102,40,0.206,0.277,0.392,0.669,0.595238095238095,0.186,0.284313725490196,10.91,3.682125,"Big 12"
"11","Kearns, Isaiah","West Virginia",59,20,0.271,0.348,0.339,0.687,0.666666666666667,0.068,0.203389830508475,7.60454545454545,4.77494714587738,"Big 12"
"12","Brophy, Kevin","West Virginia",53,30,0.226,0.354,0.566,0.92,0.954545454545455,0.34,0.547169811320755,10.4307692307692,6.25846153846154,"Big 12"
"13","Murphy, Tanner","North Florida",221,118,0.326,0.418,0.534,0.952,1.09868421052632,0.208,0.411764705882353,54.803125,9.8645625,"ASUN"
"14","Prather, Jay","North Florida",199,74,0.286,0.341,0.372,0.713,0.598684210526316,0.086,0.165829145728643,23.98100456621,4.4046743080794,"ASUN"
