"","team_name","W","L","w_pct","pyth_w_pct","RS","RA","conference"
"1","A&M-Corpus Chris",30,26,0.535714285714286,0.576193028855285,343,290,"Southland"
"2","Abilene Christian",21,33,0.388888888888889,0.517877389523938,313,301,"Southland"
"3","Air Force",24,30,0.444444444444444,0.608971484703983,400,314,"Mountain West"
"4","Alabama",27,29,0.482142857142857,0.624076153191999,310,235,"Southeastern"
"5","Alabama A&M",12,37,0.244897959183673,0.243182542108524,228,424,"Southwestern"
"6","Alabama St.",30,22,0.576923076923077,0.594623199210222,360,292,"Southwestern"
"7","Albany (NY)",20,28,0.416666666666667,0.537076314611426,218,201,"America East"
"8","Alcorn",13,39,0.25,0.270745522008556,238,409,"Southwestern"
"9","Appalachian St.",18,36,0.333333333333333,0.375304923883267,190,251,"Sun Belt"
"10","Arizona",34,22,0.607142857142857,0.816965792381669,385,170,"Pac-12"
"11","Arizona St.",23,32,0.418181818181818,0.574658952154803,310,263,"Pac-12"
"12","Ark.-Pine Bluff",20,25,0.444444444444444,0.41433933206739,245,296,"Southwestern"
"13","Arkansas",39,18,0.684210526315789,0.764799135541718,400,210,"Southeastern"
"14","Arkansas St.",20,32,0.384615384615385,0.493754494055044,291,295,"Sun Belt"
"15","Army West Point",36,22,0.620689655172414,0.651826044990813,324,230,"Patriot"
"16","Auburn",39,21,0.65,0.786449090124385,420,206,"Southeastern"
"17","Austin Peay",30,27,0.526315789473684,0.562869276005106,403,351,"OVC"
"18","Ball St.",32,26,0.551724137931034,0.607871934993469,338,266,"Mid-American"
"19","Baylor",36,19,0.654545454545455,0.798792632449119,359,169,"Big 12"
"20","Belmont",19,36,0.345454545454545,0.456638543501236,311,342,"OVC"
"21","Bethune-Cookman",24,34,0.413793103448276,0.5,300,300,"Mid-Eastern"
"22","Binghamton",18,31,0.36734693877551,0.475643068913738,201,212,"America East"
"23","Boston College",17,32,0.346938775510204,0.438277620221322,241,276,"Atlantic Coast"
"24","Bowling Green",11,39,0.22,0.308474834249404,202,314,"Mid-American"
"25","Bradley",32,19,0.627450980392157,0.735769855748572,350,200,"Missouri Valley"
"26","Brown",11,26,0.297297297297297,0.378935728018717,171,224,"Ivy League"
"27","Bryant",32,24,0.571428571428571,0.678497320633958,376,250,"Northeast"
"28","Bucknell",17,28,0.377777777777778,0.443735873045005,213,241,"Patriot"
"29","Butler",34,20,0.62962962962963,0.722629824306826,324,192,"Big East"
"30","BYU",22,28,0.44,0.553013434480734,255,227,"West Coast"
"31","Cal Poly",30,27,0.526315789473684,0.570527335238864,320,274,"Big West"
"32","Cal St. Fullerton",32,23,0.581818181818182,0.630270378884431,265,198,"Big West"
"33","California",32,22,0.592592592592593,0.681405007559569,353,233,"Pac-12"
"34","Campbell",35,24,0.593220338983051,0.635663078444541,347,256,"Big South"
"35","Canisius",35,20,0.636363636363636,0.73075755451118,390,226,"Metro Atlantic"
"36","Central Ark.",32,25,0.56140350877193,0.758083770139623,364,195,"Southland"
"37","Central Conn. St.",18,28,0.391304347826087,0.439478696984982,211,241,"Northeast"
"38","Central Mich.",29,31,0.483333333333333,0.623870907526718,356,270,"Mid-American"
"39","Charleston So.",19,35,0.351851851851852,0.346895186649306,184,260,"Big South"
"40","Charlotte",34,24,0.586206896551724,0.65095254708847,343,244,"Conference USA"
"41","Chicago St.",13,41,0.240740740740741,0.224941185844321,206,405,"Western Athletic"
"42","Cincinnati",28,28,0.5,0.644312144327682,303,219,"AAC"
"43","Clemson",45,14,0.76271186440678,0.777212507229052,384,194,"Atlantic Coast"
"44","Coastal Caro.",42,17,0.711864406779661,0.780478898328685,472,236,"Sun Belt"
"45","Col. of Charleston",36,19,0.654545454545455,0.748836534349246,307,169,"Colonial"
"46","Columbia",20,28,0.416666666666667,0.436246140130159,246,283,"Ivy League"
"47","Coppin St.",21,24,0.466666666666667,0.505268577237276,262,259,"Mid-Eastern"
"48","Cornell",14,23,0.378378378378378,0.451946340554265,198,220,"Ivy League"
"49","Creighton",34,16,0.68,0.65373053574053,317,224,"Big East"
"50","CSU Bakersfield",21,36,0.368421052631579,0.387748425074862,261,335,"Western Athletic"
"51","CSUN",28,30,0.482758620689655,0.614501340856235,329,255,"Big West"
"52","Dartmouth",17,23,0.425,0.507956050711308,232,228,"Ivy League"
