"","game_date","away_team_name","home_team_name","res","RD"
"1","02/16/2018","A&M-Corpus Christi","UT Arlington","W",2
"2","02/17/2018","A&M-Corpus Christi","UT Arlington","L",3
"3","02/18/2018","A&M-Corpus Christi","UT Arlington","W",1
"4","02/20/2018","A&M-Corpus Christi","UTRGV","W",1
"5","02/23/2018","A&M-Corpus Christi","Nicholls St.","W",11
"6","02/24/2018","A&M-Corpus Christi","UC Santa Barbara","W",1
"7","02/25/2018","A&M-Corpus Christi","Mississippi St.","W",3
"8","02/28/2018","A&M-Corpus Christi","Houston-Victoria","W",10
"9","03/02/2018","A&M-Corpus Christi","Utah Valley","L",1
"10","03/03/2018","A&M-Corpus Christi","Utah Valley","W",6
"11","03/03/2018","A&M-Corpus Christi","Utah Valley","W",6
"12","03/04/2018","A&M-Corpus Christi","Utah Valley","W",6
"13","03/09/2018","A&M-Corpus Christi","Oklahoma","L",4
"14","03/10/2018","A&M-Corpus Christi","Oklahoma","L",4
"15","03/10/2018","A&M-Corpus Christi","Oklahoma","L",1
"16","03/11/2018","A&M-Corpus Christi","Oklahoma","W",10
"17","03/13/2018","A&M-Corpus Christi","Columbia","W",3
"18","03/16/2018","A&M-Corpus Christi","Sam Houston St.","L",2
"19","03/17/2018","A&M-Corpus Christi","Sam Houston St.","L",2
"20","03/18/2018","A&M-Corpus Christi","Sam Houston St.","L",9
"21","03/20/2018","A&M-Corpus Christi","UTRGV","W",1
"22","03/21/2018","A&M-Corpus Christi","Houston-Victoria","W",11
"23","03/23/2018","A&M-Corpus Christi","Northwestern St.","W",5
"24","03/24/2018","A&M-Corpus Christi","Northwestern St.","L",1
"25","03/25/2018","A&M-Corpus Christi","Northwestern St.","W",5
"26","03/27/2018","A&M-Corpus Christi","Texas A&M","L",2
"27","03/29/2018","A&M-Corpus Christi","New Orleans","L",5
"28","03/30/2018","A&M-Corpus Christi","New Orleans","L",2
"29","03/31/2018","A&M-Corpus Christi","New Orleans","L",1
"30","04/03/2018","A&M-Corpus Christi","Texas","L",6
"31","04/06/2018","A&M-Corpus Christi","Southeastern La.","L",9
"32","04/07/2018","A&M-Corpus Christi","Southeastern La.","L",1
"33","04/08/2018","A&M-Corpus Christi","Southeastern La.","W",6
"34","04/10/2018","A&M-Corpus Christi","Houston Baptist","W",2
"35","04/13/2018","A&M-Corpus Christi","Lamar University","L",10
"36","04/14/2018","A&M-Corpus Christi","Lamar University","L",5
"37","04/15/2018","A&M-Corpus Christi","Lamar University","L",2
"38","04/17/2018","A&M-Corpus Christi","UTSA","L",5
"39","04/20/2018","A&M-Corpus Christi","SFA","W",2
"40","04/21/2018","A&M-Corpus Christi","SFA","W",7
"41","04/22/2018","A&M-Corpus Christi","SFA","L",1
"42","04/24/2018","A&M-Corpus Christi","Houston Baptist","L",7
"43","04/27/2018","A&M-Corpus Christi","Central Ark.","W",13
"44","04/28/2018","A&M-Corpus Christi","Central Ark.","L",5
"45","04/29/2018","A&M-Corpus Christi","Central Ark.","L",4
"46","05/01/2018","A&M-Corpus Christi","UTSA","L",13
"47","05/02/2018","A&M-Corpus Christi","Texas Southern","W",2
"48","05/04/2018","A&M-Corpus Christi","McNeese","W",5
"49","05/05/2018","A&M-Corpus Christi","McNeese","W",1
"50","05/06/2018","A&M-Corpus Christi","McNeese","L",5
