player_id	player_name	team_id	team_name	jersey	year	pos	played	started	Appearances	GS	ERA	IP	H	R	ER	BB	SO	SHO	BF	POAB	2BA	3BA	BK	HRA	WP	HB	IBB	Inh_Run	SHA	SFA	Pitches	GO	FO	W	L	SV	KL
1773595	31	Hill, Darius	768	West Virginia	Fr	OF	58	58																													
1650148	5	Davis, Kyle	768	West Virginia	So	INF	57	56																													
1650152	3	Galusky, Jimmy	768	West Virginia	Fr	INF	57	57																													
1531279	13	Cramer, Jackson	768	West Virginia	Jr	1B	56	56																													
1773593	9	Gray, Kyle	768	West Virginia	Fr	INF	55	51																													
1650154	7	Huth, KC	768	West Virginia	Sr	OF	53	46																													
1422192	42	Guerinni, Ray	768	West Virginia	Jr	C	52	50																													
1773612	19	Zarbnisky, Braden	768	West Virginia	Fr	P	44	25	12	4	4.00	27.0	24	13	12	11	25		113	97	6	1	1	1	1	3		8	1	1	401	19	32	4			8
1773608	32	Vera, Ivan	768	West Virginia	Fr	C	43	37																													
1773590	28	Austin, Cole	768	West Virginia	Fr	INF	41	39																													
1422205	44	Wood, Shaun	768	West Virginia	Jr	OF	30	3																													
1773596	25	Inman, Marques	768	West Virginia	Fr	1B	30	17																													
1531278	8	Corso, Shaun	768	West Virginia	So	INF	28	15																													
1650162	36	Smith, Blake	768	West Virginia	Sr	P	25	0	25		2.20	32.2	24	10	8	16	42		136	112	1	2	1	1	3	1	2	11	4	3	494	19	33	5	3	8	7
1650160	23	Potter, Caleb	768	West Virginia	So	OF	24	10																													
1650161	34	Sigman, Jackson	768	West Virginia	Jr	P	20	0	20		3.63	17.1	15	9	7	9	13		74	63	1			2	2			25	2		261	18	16				2
1650149	10	Dotson, Conner	768	West Virginia	So	P	20	4	20	4	4.44	48.2	56	30	24	24	40		225	189	10	1	1	4	4	3	2	25	5	4	717	52	46	7	4	1	16
1531308	18	Vance, Ross	768	West Virginia	Sr	P	18	13	18	13	4.91	91.2	89	55	50	29	91		401	343	17	2	1	8	3	18	3	6	9	2	1,273	106	62	7	2		24
1650158	33	Myers, BJ	768	West Virginia	So	P	17	10	17	10	4.05	66.2	55	37	30	22	53		268	237	9	1	2	5	2	3	1	10	3	3	779	57	71	5	3		11
1773594	29	Grove, Michael	768	West Virginia	Fr	P	16	7	16	7	3.40	45.0	45	22	17	20	56		193	170	9	2		3	7	1	1	5	2		702	43	26	2	4	1	16
1773610	45	Zitel, Andrew	768	West Virginia	Fr	INF	15	4																													
1531280	2	Donato, Chad	768	West Virginia	Jr	P	15	15	15	15	3.27	96.1	86	43	35	20	111	1	398	366	18		1	3	2	8			2	2	1,208	68	99	3	4		34
1650151	27	Hardy, Jeff	768	West Virginia	Sr	P	13	0	13		7.84	20.2	24	19	18	10	20		99	86	5	1		2	3	1		9	1	1	369	19	23		1	2	4
1650142	30	Boone, Brandon	768	West Virginia	Jr	P	12	0	12		3.38	18.2	12	8	7	16	25		88	68	3				4	2		6	1	1	177	18	11	1			10
1650146	15	Casserly, Kyle	768	West Virginia	So	OF	10	0																													
1773591	21	Brewer, Jacob	768	West Virginia	Fr	P	9	0	9		5.40	6.2	8	5	4	8	8		34	26				1				8			142	6	3			1	1
1650150	26	Ennis, Shane	768	West Virginia	So	P	8	0	8		6.23	4.1	1	3	3	6	6		22	12					3	2		9	1	1	65	4	3				4
1531309	11	Wernke, Nick	768	West Virginia	So	P	7	0	7		4.50	6.0	6	3	3	4	3		27	20	3		1		2	2		8	1		88	9	3				1
1773592	22	Campbell, Tanner	768	West Virginia	Fr	P	6	5	6	5	3.42	26.1	24	13	10	10	18		115	100	6		2	1	1	4		1	1		354	31	26	2	1		6
1773598	47	Morales, Endy	768	West Virginia	Fr	P	6	0	6		8.31	4.1	4	4	4	2	2		22	16	2		1			3		3		1	63	6	5				
1773611	50	Potock, Jacob	768	West Virginia	Fr	P	3	0	3		8.10	3.1	6	3	3	1	3		16	13	1							6		2	55	3	3				1
1650155	37	Jordan, Seth	768	West Virginia	So	P	2	0	2		4.50	2.0	2	1	1	0	2		8	7				1					1		18	2	2				1
1426804	23	Olmstead, Corbin	2711	North Florida	Sr	P	58	57	21		1.65	32.2	22	7	6	15	34		140	115	2			1	3	2	6	20	6	2	468	33	30	5	1	6	7
1639703	32	Higdon, Dakota	2711	North Florida	Sr	OF	58	55																													
1426800	2	Brooks, Kyle	2711	North Florida	Sr	INF	58	58																													
1752628	15	Karmeris, Nick	2711	North Florida	Sr	INF	58	58																													
1639709	35	Skinner, Keith	2711	North Florida	Sr	C	57	57																													
1537392	4	Merritt, Alex	2711	North Florida	Jr	C	57	55																													
1752638	5	Thibideau, Chris	2711	North Florida	Jr	OF	54	53																													
1752586	21	Berry, Chris	2711	North Florida	Fr	OF	46	40																													
1426814	3	Ervin, Patrick	2711	North Florida	Sr	INF	41	41																													
1537398	12	Olivera, Bubba	2711	North Florida	Jr	INF	30	15																													
1639707	39	Naylor, Matthew	2711	North Florida	Jr	P	30	0	30		2.52	50.0	44	18	14	12	56		204	184	6		1	4		5	4	29	1	2	627	39	45	5	3	3	16
1752587	6	Board, Dalton	2711	North Florida	Fr	OF	24	6																													
1752603	28	Diaz, Christian	2711	North Florida	Jr	INF	21	21																													
1639706	25	Moritz, Daniel	2711	North Florida	Sr	P	19	0	19		2.25	20.0	14	5	5	3	22		79	71	2				1	2		22		3	247	19	16	1		1	5
1426808	36	Smith, Alex	2711	North Florida	Sr	P	16	0	16		1.11	24.1	16	6	3	13	19		99	84	1				2	1		8		1	370	27	21	3		1	10
1537393	8	Voyles, Blake	2711	North Florida	Jr	C	16	2																													
1426809	38	Dupont, Tyler	2711	North Florida	Sr	P	15	7	13	7	5.30	56.0	77	34	33	6	33		250	236	8			3	2	2	1	6	4	2	652	75	49	3	2		11
1752606	19	Howze, Austin	2711	North Florida	Jr	P	15	0	15		2.91	21.2	22	7	7	11	14		94	80	2			2	2	2		8	1		323	18	27	3			5
1639708	16	Polansky, Adam	2711	North Florida	So	P	15	2	15	2	3.75	36.0	38	21	15	8	18		155	137	6		1	2	3	1		12	7	2	453	40	43	1	1		6
1639702	26	Drury, Zach	2711	North Florida	So	P	15	6	6	2	5.79	14.0	18	10	9	6	12		64	56	1	1		1	1			2		2	250	10	17	1	1		5
1752604	30	Drury, Austin	2711	North Florida	Fr	P	15	12	15	12	4.02	71.2	63	34	32	24	48		296	258	10	3		6	3	6		5	5	3	810	93	60	6	1		13
1537397	24	Baker, Bryan	2711	North Florida	Jr	P	14	14	14	14	2.27	83.1	65	28	21	28	80		340	304	10		1	5	1	2	1		6		1,156	77	83	6	4		18
1639710	18	Vaka, Matt	2711	North Florida	So	P	14	8	14	8	4.63	46.2	61	30	24	14	21		210	187	6	2		2	1	5		7	4		527	76	27	3	1		6
1752585	1	German, Frank	2711	North Florida	Fr	P	14	7	14	7	4.36	33.0	32	20	16	13	22		144	122	7			3		4		7	3	2	426	27	46	2	4		5
1752598	41	Delaney, Anthony	2711	North Florida	Jr	P	7	3	7	3	4.96	16.1	18	9	9	3	17		70	65	4			1		1		1	1		235	16	15		1		6
1639701	20	Depperman, Brad	2711	North Florida	So	P	4	3	4	3	10.64	11.0	19	13	13	4	8		54	48	4			3	1	1			1		164	8	14				2
1752632	29	Norkus, Trace	2711	North Florida	Fr	P	2	0	2		20.25	2.2	7	6	6	1	1		18	13	1			1	1	2				2	59	2	5				
1537395	17	Stadius, Jay	2711	North Florida	Jr	P	1	0	1		0.00	1.0	0			0			3	3											9		3				
1424623	34	Johnson, Spencer	669	Missouri St.	Sr	OF	59	59																													
1544069	8	Meyer, Aaron	669	Missouri St.	Jr	INF	59	57																													
1654023	1	Paulsen, Justin	669	Missouri St.	Jr	INF	59	56																													
1768947	7	Steinmetz, Hunter	669	Missouri St.	Fr	OF	59	59																													
1768949	11	Eierman, Jeremy	669	Missouri St.	Fr	INF	59	59																													
1544063	3	Graham, Blake	669	Missouri St.	Jr	OF	57	52																													
1654020	9	Burger, Jake	669	Missouri St.	So	INF	56	56																													
1544066	40	Jefferson, Alex	669	Missouri St.	Jr	OF	52	34	1		4.50	2.0	3	1	1	2			9	7	1										25	3	1				
1544062	25	Fultz, Matt	669	Missouri St.	Sr	C	44	33																													
1654021	5	Castro, Eduardo	669	Missouri St.	Sr	C	42	27																													
1424617	23	Dezort, Matt	669	Missouri St.	Sr	OF	36	22																													
1424620	19	Perez, Sam	669	Missouri St.	Sr	P	36	0	36		2.86	91.1	65	35	29	35	112		380	332	15	3		3	7	7		39	1	4	1,184	80	74	8		1	27
1768954	27	Mantle, Ryan	669	Missouri St.	Fr	INF	26	10	9		11.25	12.0	17	15	15	11	14		61	48	6	1		1	4	1		2	1		179	13	4	1			6
1768950	16	Fromson, Jake	669	Missouri St.	So	P	24	4	24	4	3.71	70.1	64	30	29	19	74		300	259	13	3	1	2	4	13	2	22	4	5	854	65	62	6	2	1	20
1424614	13	Young, Bryan	669	Missouri St.	Jr	P	24	0	24		1.05	34.1	21	7	4	15	41		141	115	7		1			1	1	14	8	2	475	35	24	1	2	11	9
1768953	26	Hovey, Jordan	669	Missouri St.	Fr	INF	22	7																													
1544070	31	Ruff, Landan	669	Missouri St.	So	OF	20	0																													
1544068	14	Knutson, Jordan	669	Missouri St.	Jr	P	16	16	16	16	4.61	91.2	95	59	47	35	88		412	361	15	5		5	6	5			9	1	1,134	126	53	7	6		21
1654022	29	Knight, Austin	669	Missouri St.	So	P	15	9	15	9	5.33	52.1	47	34	31	22	41		224	194	17	1	1	3	2	4		6	2	2	655	53	55	5	2	1	10
1768948	10	Coleman, Dylan	669	Missouri St.	Fr	P	15	14	15	14	4.98	72.1	73	48	40	49	82		339	275	16	2	2	1	4	7		2	6	2	1,126	67	53	6	4		21
1768952	21	Lochner, Jake	669	Missouri St.	Fr	P	14	2	14	2	5.59	19.1	16	17	12	25	15		97	70	2				3	1		8			317	23	13	1			6
1424622	44	Cheray, Andy	669	Missouri St.	Sr	P	13	8	13	8	5.35	37.0	43	28	22	21	32		175	146	10	1	1	2	9	4		5	3	1	584	40	31	2	2		5
1768956	33	Dunne, Ryan	669	Missouri St.	Jr	P	10	5	10	5	8.25	24.0	27	23	22	19	18		118	92	4	2		2	5	1		4	2	4	427	27	24	1	3		3
1654025	43	Rowley, Danny	669	Missouri St.	Jr	C	6	0																													
1768959	99	Felgate, Preston	669	Missouri St.	Sr	P	6	1	6	1	6.30	10.0	16	8	7	3	7		48	43	3			1	2					2	98	12	10				
1654019	50	Brown, Nick	669	Missouri St.	So	P	2	0	2		13.50	1.1	1	2	2	3			8	5								3			20	2	2				
1435340	2	Mateo, Robinson	665	Southern U.	Jr	INF	46	46																													
1777597	7	Lewis, Troy	665	Southern U.	N/A	SS	43	43	15	5	8.26	40.1	52	41	37	25	37		197	167	10	3	7	4	7	1		7	2	2	448	37	38	1	5	3	8
1777598	4	Harris, Dondrayas	665	Southern U.	N/A	LF	41	40																													
1757478	14	Valdes, Anthony	665	Southern U.	Fr	OF	40	35																													
1757475	5	Wheatley, Ashanti	665	Southern U.	Fr	OF	37	36																													
1757474	3	Williams, Javeayan	665	Southern U.	Fr	OF	37	32																													
1549711	33	Pope, John	665	Southern U.	So	1B	36	25																													
1435346	24	DeLaTorre, Jose	665	Southern U.	Sr	C	34	34																													
1757476	6	Montesino, Franky	665	Southern U.	Fr	INF	33	29																													
1549688	19	Hodge, Marcus	665	Southern U.	So	3B	30	21																													
1549713	1	Williams, Phillip	665	Southern U.	Jr	INF	29	23	1		9.00	2.0	4	3	2	0			11	11	3										38		6				
1757481	31	Williams, D'Andre	665	Southern U.	Fr	C	22	12																													
1774431	34	Juge, Jacob	665	Southern U.	N/A	RF	22	12																													
1647704	30	Freeman, Justin	665	Southern U.	So	P	18	0	18		6.61	32.2	50	29	24	24	25		172	141	6		1	4	6	3		22	2	2	447	40	24	3	3		5
1777599	9	Blaise, Malik	665	Southern U.	N/A	PR	17	9																													
1757480	26	Melendez, Bryan	665	Southern U.	Fr	P	15	0	15		13.89	23.1	36	41	36	24	16		146	103	5	1	1	4	1	15		19	1	3	475	25	26	1	2		5
1435339	10	Sanchez, Joseph	665	Southern U.	So	P	14	1	14	1	10.66	25.1	28	41	30	31	15		144	102	6	4	2	6	7	7		7	2	2	534	23	34				5
1777600	23	Jarreau, Jarod	665	Southern U.	N/A	P	14	3	14	3	13.95	20.0	38	46	31	32	17		135	95	4	1		8	10	5		8		3	321	11	28		4		5
1549706	44	Myles, Harold	665	Southern U.	Jr	P	14	10	14	10	10.43	44.0	71	67	51	26	26		238	192	23	2		5	15	13		2	1	6	634	44	50	1	8	1	2
1666181	17	Franklin, Daniel	665	Southern U.	So	P	12	11	12	11	4.19	68.2	64	39	32	33	49		307	258	15	2	4	3	7	7		2	3	5	448	61	83	4	3		17
1774430	45	Diaz, Mason	665	Southern U.	N/A	1B	12	7																													
1439191	22	Ilarraza, Victor	665	Southern U.	Jr	P	12	0	12		9.00	17.0	25	19	17	14	9		89	67	2	2	1	2	2	4		12		4	246	14	21				3
1549686	18	George, J'Markus	665	Southern U.	Jr	P	12	12	12	12	5.59	67.2	77	66	42	47	63		333	270	17		1	5	9	8			7	1	926	71	54	4	6		17
1774831	35	Sparks, Josh	665	Southern U.	N/A	P	10	4	10	4	6.98	29.2	41	30	23	18	22		154	124	5	1	1	4	3	7		4	3	2	369	39	25				8
1757477	12	Mitchell, Eian	665	Southern U.	Fr	C	9	6																													
1781454	8	Eusay, C.	665	Southern U.	N/A	3B	9	3																													
1774790	32	Buchanan, Lloyd	665	Southern U.	N/A	PH/LF	5	1																													
1417279	2	Dawson, Nick	664	Southern Miss.	Sr	INF	61	61																													
1417281	26	Lynch, Tim	664	Southern Miss.	Sr	INF	61	61																													
1526606	24	Burdeaux, Dylan	664	Southern Miss.	Jr	OF	61	61																													
1760115	12	Sandlin, Jake	664	Southern Miss.	Sr	OF	61	61																													
1526604	20	Robinson, Chuckie	664	Southern Miss.	Jr	C	59	57																													
1760121	34	Cooper, Storme	664	Southern Miss.	Fr	INF	57	41																													
1637005	23	Scott, Chase	664	Southern Miss.	Sr	INF	55	53																													
1637006	21	Slater, Hunter	664	Southern Miss.	Fr	INF	52	40																													
1636999	3	Keating, Daniel	664	Southern Miss.	So	INF	48	36																													
1760111	4	Hadley, Tracy	664	Southern Miss.	Jr	INF	39	33																													
1760117	16	Keys, J.C.	664	Southern Miss.	Fr	P	38	0	4		10.80	1.2	5	5	2	9	2		20	11					5			3			45	2	2				
1760110	1	Gilber, Michael	664	Southern Miss.	Sr	INF	32	14																													
1301731	11	Lowery, Luke	664	Southern Miss.	Sr	P	28	0	28		5.12	19.1	24	14	11	6	17		90	78	6			3	2	3	2	41	1	2	258	17	20	4			7
1636995	22	Braley, Taylor	664	Southern Miss.	So	INF	28	27	1		0.00	0.1	0			0			1	1								2			2		1				
1760112	5	Sandlin, Nick	664	Southern Miss.	Fr	P	26	0	26		2.38	41.2	32	15	11	20	44		177	151	6	2		1	2	6	3	27			569	49	25	3	3	12	18
1417280	10	Winston, Jake	664	Southern Miss.	Sr	P	22	5	22	5	4.68	67.1	64	40	35	28	50		298	260	12			5	10	9		19	1		868	91	47	7	2	1	12
1301736	28	Livingston, Cody	664	Southern Miss.	Sr	P	19	0	19		5.66	20.2	24	13	13	8	23		97	80	4	1		1		6		19	3		337	14	20	2	2	4	7
1301739	36	Johnson, Nick	664	Southern Miss.	Sr	P	19	8	19	8	4.19	58.0	60	34	27	25	50		263	218	7	3		5	2	13		8	6	1	895	67	44	3	1	2	15
