team_id	team_name	team_ERA	team_IP	team_H	team_R	team_ER	team_BB	team_SO	team_SHO	team_BF	team_POAB	team_2BA	team_3BA	team_BK	team_HRA	team_WP	team_HB	team_IBB	team_SHA	team_SFA	team_GO	team_FO	team_KL	opp_team_ERA	opp_team_IP	opp_team_H	opp_team_R	opp_team_ER	opp_team_BB	opp_team_SO	opp_team_SHO	opp_team_BF	opp_team_POAB	opp_team_2BA	opp_team_3BA	opp_team_BK	opp_team_HRA	opp_team_WP	opp_team_HB	opp_team_IBB	opp_team_SHA	opp_team_SFA	opp_team_GO	opp_team_FO	opp_team_KL
768	West Virginia	4.07	517.2	481	278	234	208	518	5	2,239	1,925	91	10	11	32	37	51	9	34	21	480	464	146	5.15	507.0	563	341	290	240	380	2	2,321	1,959	116	21	9	42	41	37	4	49	33	529	520	109
2711	North Florida	3.68	520.1	516	248	213	161	405	5	2,220	1,963	70	6	3	34	21	36	12	39	21	560	501	115	6.50	504.1	654	413	364	227	278	3	2,407	2,065	107	9	1	47	68	50	8	47	18	654	497	103
669	Missouri St.	4.53	518.0	488	307	261	259	524	2	2,312	1,947	109	18	6	20	46	44	3	36	23	546	406	128	411.68	503.2	614	440	378	273	391	1	2,434	2,052	121	26	2	80	53	55	11	25	29	461	596	100
665	Southern U.	7.89	370.2	486	422	325	274	279	1	1,926	1,530	96	16	18	45	67	70		21	30	365	389	75	4.95	380.1	379	246	209	176	330	5	1,777	1,462	69	13	6	17	31	98		18	23	386	362	89
664	Southern Miss.	4.19	532.1	544	285	248	230	454	4	2,392	2,038	99	12	2	34	48	72	11	35	16	557	498	120	6.28	517.1	621	419	361	277	395	1	2,460	2,038	115	11	7	67	51	78	12	40	27	484	564	121
219	Evansville	4.40	489.1	505	288	239	202	366	4	2,184	1,879	83	20	6	32	51	56		30	14	593	424	96	5.04	489.1	520	317	274	234	398	5	2,248	1,922	103	10	1	51	62	60	2	15	17	417	582	124
769	Western Caro.	6.31	540.2	643	438	379	318	512	1	2,594	2,139	116	20	7	80	53	64	10	43	30	483	519	165	6.66	544.2	651	453	403	274	346	3	2,582	2,139	94	13	6	72	66	98	5	43	27	593	579	129
498	La.-Monroe	5.57	481.1	526	351	298	240	373	1	2,253	1,866	99	16	10	37	78	85	6	35	27	456	529	105	3.43	490.0	412	244	187	191	392	4	2,096	1,783	89	7	6	30	37	54	3	49	17	480	513	114
136	Chicago St.	6.72	455.2	566	420	340	289	312	1	2,221	1,824	123	23	9	25	95	45		34	28	435	530	93	3.18	473.1	390	207	167	214	380	5	2,007	1,720	61	14	5	13	36	40	1	18	15	506	433	114
90	Cal Poly	4.15	499.1	553	288	230	161	456	4	2,207	1,956	103	17	2	15	43	33	3	39	17	524	425	98	4.46	494.0	510	291	245	239	357	3	2,246	1,888	87	14	1	19	53	47	5	43	29	520	531	91
494	North Dakota	5.96	362.2	419	301	240	202	272	1	1,748	1,426	62	18	7	24	50	49		41	29	349	409	76	3.05	380.1	340	162	129	132	334	6	1,613	1,405	52	5		15	22	39	4	29	8	386	352	91
703	Texas	4.08	505.1	508	273	229	196	428	4	2,226	1,928	76	12	4	31	27	33	9	53	16	555	462	115	4.60	500.2	502	298	256	215	438	4	2,222	1,873	105	13	2	34	35	36	4	75	22	521	471	125
490	North Carolina St.	4.12	535.1	518	280	245	255	499	1	2,364	1,994	95	7	5	34	69	57	2	42	16	544	456	142	6.14	523.1	646	411	357	252	459	5	2,472	2,133	127	11	9	57	58	33	6	33	20	520	518	121
102	Sacramento St.	4.26	517.0	541	281	245	176	276	4	2,254	1,973	98	12	4	36	41	31	6	58	16	591	586	79	3.75	515.1	507	253	215	158	439	5	2,208	1,968	102	7	8	28	52	31	2	28	22	442	587	105
