game_id	game_date	away_team_id	away_team_name	away_team_minutes	away_team_fgm	away_team_fga	away_team_three_fgm	away_team_three_fga	away_team_ft	away_team_fta	away_team_pts	away_team_offreb	away_team_defreb	away_team_totreb	away_team_ast	away_team_to	away_team_stl	away_team_blk	away_team_fouls	home_team_id	home_team_name	home_team_minutes	home_team_fgm	home_team_fga	home_team_three_fgm	home_team_three_fga	home_team_ft	home_team_fta	home_team_pts	home_team_offreb	home_team_defreb	home_team_totreb	home_team_ast	home_team_to	home_team_stl	home_team_blk	home_team_fouls	neutral_site
4671254	12/04/2018	/team/553/14300	Prairie View	1	200:00	28	57	6	16	6	12	68	10	24	34	16	20	11	1	/team/366/14300	Louisiana Tech	1	200:00	30	58	11	28	11	16	82	8	23	31	18	13	6	7	0
4671255	11/10/2018	/team/551/14300	Portland	1	200:00	25	52	9	21	14	21	73	8	18	26	6	9	5	3	/team/497/14300	North Texas	1	200:00	28	53	8	20	14	18	78	6	20	26	17	9	3	3	1
4671256	11/13/2018	/team/406/14300	Mercer	1	200:00	23	58	7	26	7	10	60	11	28	39	14	14	3	1	/team/254/14300	Georgia St.	1	200:00	23	54	15	35	1	6	62	7	24	31	13	14	7	5	0
4671927	12/05/2018	/team/772/14300	Western Ky.	1	200:00	29	57	8	15	12	16	78	6	19	25	10	12	8	3	/team/669/14300	Missouri St.	1	200:00	33	60	11	27	7	9	84	9	23	32	15	13	5	4	0
4671252	11/15/2018	/team/47/14300	Ball St.	1	200:00	22	52	9	27	11	14	64	11	21	32	11	14	4	6	/team/742/14300	Virginia Tech	1	200:00	29	63	7	26	8	9	73	13	20	33	14	9	7	3	1
4671253	11/16/2018	/team/654/14300	Southeast Mo. St.	1	200:00	26	65	9	25	16	20	77	17	32	49	14	15	2	3	/team/316/14300	Jacksonville	1	200:00	31	72	6	28	3	5	71	11	24	35	21	11	7	8	1
4677691	12/22/2018	/team/441/14300	Montana	1	200:00	28	59	11	28	18	25	85	12	25	37	13	10	5	4	/team/649/14300	South Dakota St.	1	200:00	25	55	6	19	18	27	74	10	24	34	11	12	4	3	0
4671928	12/05/2018	/team/10411/14300	USC Upstate	1	200:00	29	66	7	22	12	16	77	14	34	48	15	26	8	3	/team/202/14300	Eastern Ky.	1	200:00	27	76	9	26	16	21	79	17	25	42	16	14	14	8	0
4654195	11/06/2018	/team/153/14300	Colgate	1	225:00	25	53	6	18	22	27	78	13	25	38	14	11	2	5	/team/471/14300	NJIT	1	225:00	26	55	11	21	18	27	81	9	18	27	14	8	5	3	0
4654193	11/06/2018	/team/30046/14300	JWU (Denver)	1	200:00	24	59	7	23	10	17	65	7	17	24	7	9	10	3	/team/721/14300	Air Force	1	200:00	35	61	9	16	11	18	90	13	32	45	22	14	5	1	0
4665645	11/22/2018	/team/659/14300	Southern Ill.	1	200:00	23	55	4	17	12	20	62	10	20	30	12	18	5	2	/team/400/14300	Massachusetts	1	200:00	31	66	15	36	7	9	84	15	25	40	19	15	5	5	1
4687189	01/17/2019	/team/229/14300	Fla. Atlantic	1	200:00	30	63	11	30	13	21	84	11	30	41	7	21	5	1	/team/388/14300	Marshall	1	200:00	29	60	9	25	29	37	96	7	27	34	17	11	15	1	0
4700466	02/09/2019	/team/540/14300	Penn	1	200:00	26	74	9	34	4	7	65	14	25	39	14	7	8		/team/813/14300	Yale	1	200:00	29	59	7	18	13	15	78	7	34	41	18	10	4	6	0
4669980	12/01/2018	/team/127/14300	Central Conn. St.	1	199:59	14	54	7	28	5	7	40	7	19	26	9	17	4	4	/team/742/14300	Virginia Tech	1	200:00	36	63	18	33	4	10	94	10	27	37	28	9	9	3	0
4665834	11/23/2018	/team/1274/14300	Northwest Nazarene	1	200:00	29	60	7	20	12	25	77	12	27	39	15	16	13	4	/team/295/14300	Idaho	1	200:00	25	54	6	17	17	24	73	7	25	32	9	20	7	2	1
4698381	02/07/2019	/team/534/14300	Pacific	1	200:00	23	46	6	11	14	20	66	5	14	19	7	10	2	2	/team/610/14300	Saint Mary's (CA)	1	200:00	24	46	10	17	20	28	78	10	21	31	7	7	3	1	0
4695291	02/02/2019	/team/66/14300	Boise St.	1	200:00	26	56	9	21	12	19	73	6	24	30	13	11	2	1	/team/466/14300	Nevada	1	200:00	35	63	13	28	10	13	93	4	29	33	22	4	5	2	0
4680306	01/02/2019	0	Bethesda (CA)	1	200:00	20	66	6	27	1	3	47	8	15	23	11	15		2	/team/104/14300	UC Santa Barbara	1	200:00	41	82	9	33	18	26	109	29	39	68	28	9	10	6	0
4704164	02/09/2019	/team/67/14300	Boston College	1	200:00	18	54	7	23	13	19	56	15	23	38	12	18	4	1	/team/688/14300	Syracuse	1	200:00	22	53	7	19	16	20	67	9	25	34	10	13	12	6	0
4680304	01/02/2019	/team/66/14300	Boise St.	1	200:00	25	59	8	26	11	15	69	11	22	33	13	6	8	2	/team/811/14300	Wyoming	1	200:00	14	40	6	16	21	24	55	5	25	30	7	15	2		0
4680305	01/02/2019	/team/731/14300	Utah St.	1	200:00	16	61	4	23	11	17	49	15	29	44	8	20	7	5	/team/466/14300	Nevada	1	200:00	24	61	7	29	17	20	72	10	33	43	17	16	15	5	0
4713972	02/23/2019	/team/202/14300	Eastern Ky.	1	250:00	39	81	12	34	11	19	101	12	25	37	12	10	8	1	/team/315/14300	Jacksonville St.	1	250:00	40	74	6	20	18	27	104	14	35	49	13	14	3	3	0
4660806	11/15/2018	0	Boyce	1	200:00	18	62	7	22	6	15	49	12	33	45	7	25	5	3	/team/1320/14300	Presbyterian	1	200:00	35	69	13	35	19	33	102	8	38	46	19	5	10	9	0
4660804	11/16/2018	/team/749/14300	Wake Forest	1	200:00	20	59	6	20	20	25	66	11	27	38	13	10	6	5	/team/97/14300	Cal St. Fullerton	1	200:00	21	56	7	26	10	12	59	9	31	40	14	17	5	4	1
4654198	11/06/2018	/team/683/14300	Stony Brook	1	225:00	27	70	6	26	17	27	77	18	28	46	9	12	5	3	/team/249/14300	George Washington	1	225:00	26	55	6	20	16	34	74	10	28	38	13	17	7	7	0
4658529	11/11/2018	/team/283/14300	Hofstra	1	200:00	26	60	7	19	13	19	72	16	25	41	7	20	7	2	/team/388/14300	Marshall	1	200:00	29	62	7	24	11	14	76	10	21	31	13	14	10	4	0
4693297	01/30/2019	/team/624/14300	Sam Houston St.	1	201:00	21	54	7	26	13	17	62	8	25	33	8	11	8	1	/team/655/14300	Southeastern La.	1	200:00	19	44	7	22	7	11	52	3	29	32	14	19	3	3	0
4683402	01/09/2019	/team/37/14300	Auburn	1	200:00	22	67	14	39	9	17	67	16	21	37	11	16	6	6	/team/433/14300	Ole Miss	1	200:00	24	53	7	19	27	37	82	13	32	45	13	17	11	2	0
4683403	01/09/2019	/team/28/14300	Arizona St.	1	199:59	28	59	8	26	16	23	80	8	26	34	16	9	6	2	/team/107/14300	California	1	200:00	20	52	8	21	18	24	66	8	25	33	8	13	2	2	0
4710612	02/20/2019	/team/400/14300	Massachusetts	1	200:00	23	57	8	24	13	16	67	6	24	30	16	13	7	1	/team/249/14300	George Washington	1	200:00	27	49	5	11	20	28	79	2	29	31	11	9	7	5	0
4675628	12/16/2018	/team/489/14300	N.C. Central	1	200:00	23	51	8	24	11	14	65	10	20	30	14	19	12	2	/team/149/14300	Coastal Caro.	1	199:59	20	46	8	19	21	25	69	6	18	24	12	17	6	4	0
4683406	01/09/2019	/team/474/14300	New Orleans	1	225:00	28	60	7	19	15	20	78	10	29	39	13	19	10	5	/team/346/14300	Lamar University	1	225:00	22	59	3	14	24	39	71	16	25	41	12	20	11	4	0
4695453	02/02/2019	/team/709/14300	Toledo	1	200:00	23	57	13	30	10	13	69	10	34	44	15	9	1	2	/team/503/14300	Northern Ill.	1	200:00	22	62	4	18	7	10	55	9	25	34	8	6	7	3	0
4678824	12/29/2018	/team/391/14300	UMBC	1	200:00	20	56	6	17	6	9	52	14	16	30	8	11	4	1	/team/539/14300	Penn St.	1	200:00	25	50	10	21	14	21	74	12	24	36	14	10	6	6	0
4683700	01/10/2019	/team/769/14300	Western Caro.	1	200:00	27	55	12	29	14	23	80	15	22	37	17	17	3	3	/team/406/14300	Mercer	1	200:00	31	55	9	20	13	19	84	6	21	27	11	8	10	3	0
4698479	01/17/2019	/team/536/14300	UTRGV	1	200:00	20	58	2	12	19	27	61	12	19	31	7	16	10	1	/team/30024/14300	Utah Valley	1	200:00	25	44	10	19	22	30	82	5	31	36	15	19	9	6	0
4713372	02/23/2019	/team/460/14300	UNCW	1	199:59	22	55	9	25	10	18	63	9	21	30	11	20	7	2	/team/786/14300	William & Mary	1	199:59	28	54	5	17	10	16	71	7	27	34	16	15	10	2	0
4713941	02/23/2019	/team/6/14300	Alabama A&M	1	200:00	19	49	7	20	4	6	49	9	19	28	8	17	3	4	/team/665/14300	Southern U.	1	200:00	23	53	6	20	7	10	59	12	22	34	12	10	7	1	0
4703172	02/13/2019	/team/68/14300	Boston U.	1	200:00	25	57	6	21	5	10	61	5	22	27	10	12	8	3	/team/725/14300	Army West Point	1	200:00	26	49	7	18	12	15	71	3	30	33	16	13	5		0
4712287	02/22/2019	/team/275/14300	Harvard	1	200:00	30	61	11	32	8	13	79	11	26	37	18	19	5	3	/team/80/14300	Brown	1	200:00	28	54	7	16	25	31	88	5	24	29	13	13	8	5	0
4675915	11/24/2018	/team/248/14300	George Mason	1	200:00	18	49	2	14	23	31	61	7	20	27	5	14	4	2	/team/51/14300	Baylor	1	200:00	21	54	6	26	24	29	72	10	24	34	9	13	6	5	1
4672103	12/05/2018	/team/518/14300	Ohio St.	1	200:00	24	51	6	17	23	32	77	10	28	38	14	19	8	4	/team/301/14300	Illinois	1	200:00	19	58	6	19	23	27	67	10	24	34	10	14	12	2	0
4672677	12/08/2018	/team/1355/14300	Schreiner	1	200:00	19	52	5	19	10	14	53	10	12	22	5	20	6	1	/team/2/14300	Abilene Christian	1	200:00	32	55	11	21	18	24	93	13	24	37	22	18	10	4	0
4698656	02/08/2019	/team/540/14300	Penn	1	200:00	31	53	13	25	17	28	92	7	26	33	18	11	7	2	/team/80/14300	Brown	1	200:00	29	67	11	29	13	19	82	13	20	33	15	10	5	3	0
