game_id	game_date	away_team_id	away_team_name	away_g	away_r	away_ab	away_h	away_two_b	away_three_b	away_total_b	away_hr	away_rbi	away_bb	away_hbp	away_sf	away_sh	away_k	away_dp	away_sb	away_cs	away_picked	home_team_id	home_team_name	home_g	home_r	home_ab	home_h	home_two_b	home_three_b	home_total_b	home_hr	home_rbi	home_bb	home_hbp	home_sf	home_sh	home_k	home_dp	home_sb	home_cs	home_picked	neutral
4704909	02/15/2019	/team/310/14781	Iona		3	32	7	1	1	10		3	3	2			7		2			/team/198/14781	ETSU		4	32	10	1		14	1	3	1				4				3	0
4719498	03/01/2019	/team/797/14781	Milwaukee	1	6	35	10	3		13		6	3		1		10					/team/29/14781	Arizona	1	14	32	13	2		18	1	12	9	3	2		9	1	1			0
4721554	03/03/2019	/team/275/14781	Harvard	1	6	36	8	1		12	1	5		1	1	1	8				1	/team/2915/14781	Wofford	1	1	30	8		1	10		1	3	2	1		3	4				0
4721009	03/02/2019	/team/363/14781	Longwood	1	1	31	4	2		6		1	2				15					/team/277/14781	Hawaii	1	9	32	10	1		11		9	8	3	1	1	6				5	0
4704903	02/15/2019	/team/541/14781	Pepperdine		11	36	9	1		13	1	11	7	1	1		7				1	/team/94/14781	CSU Bakersfield			32	5	1		6			4				9					1
4721004	03/02/2019	/team/231/14781	FIU	1	5	31	5	2		10	1	5	6			1	7	1			1	/team/315/14781	Jacksonville St.	1	2	30	7			10	1	2	6	1	1		10	1	2		2	0
4704906	02/15/2019	/team/393/14781	UMES		3	25	7	1		8		2	2		1	1	9		2		3	/team/363/14781	Longwood			25	4			4				1			7	1				0
4721001	03/02/2019	/team/30/14781	Arkansas St.	1	6	37	11	2		13		6	6	2			10				1	/team/366/14781	Louisiana Tech	1	8	31	6		1	11	1	6	5		1		10		1		1	0
4721552	03/02/2019	/team/236/14781	Fordham	1	4	27	7	2		9		3	2	1	1		4	1			2	/team/393/14781	UMES	1	6	25	8	1		9		5	4	2		1	5	1	1		2	0
4711718	02/17/2019	/team/310/14781	Iona	1	4	39	11	2		13		2	2			1	7					/team/198/14781	ETSU	1	14	36	14	3	1	22	1	12	9	2	1		6		1		5	0
4713970	02/23/2019	/team/482/14781	Niagara	1	5	32	6			6		5	5	3		1	12				1	/team/473/14781	New Mexico	1	3	35	10	1	1	13		3	1	1			3	2				0
4721480	03/02/2019	/team/635/14781	Seton Hall	1		33	5			5			5				11					/team/746/14781	Virginia	1	4	28	7	1		11	1	4	3			5	3				1	0
4721557	03/03/2019	/team/386/14781	Marist	1	1	27	6			6		1	2	1			4	1			2	/team/178/14781	Delaware St.	1	6	24	6	2		11	1	6	4		1		5		1			0
4710618	02/20/2019	/team/406/14781	Mercer	1	7	33	10			13	1	7	5		2	1	4	2			4	/team/228/14781	Florida A&M	1	6	37	14	3		17		6	7	2		1	7	1				0
4710617	02/19/2019	/team/434/14781	Missouri	1	5	35	10	3		13		5	4				8		1		1	/team/228/14781	Florida A&M	1	3	30	3	1		4		2	11	2			12					0
4719546	03/01/2019	/team/363/14781	Longwood	1	4	30	6	1		10	1	4	4				12		2			/team/277/14781	Hawaii	1	5	34	11			11		5	4	1			5	1			2	0
4719540	03/01/2019	/team/30135/14781	California Baptist	1	3	39	11	1		12		1	4				8					/team/111/14781	UC Riverside	1	8	34	12	3		15		6	6	3		2	8	1			1	0
4710610	02/20/2019	/team/314/14781	Jackson St.	1	4	34	9	1		10		3					9	1	2		1	/team/261/14781	Grambling	1	2	33	8	2		10		1	2			1	16		1		1	0
4715065	02/24/2019	/team/29/14781	Arizona	1	9	32	8	3		11		9	10			3	12				1	/team/288/14781	Houston	1	4	34	7	2		12	1	3	2	4			10	1				0
4715063	02/24/2019	/team/493/14781	North Dakota St.	1	4	36	10	1	1	13		4	3				9	1			1	/team/536/14781	UTRGV	1	6	30	9	1		10		5	8	1	1	1	6		1		2	0
4708824	02/16/2019	/team/756/14781	Washington		9	36	10	1	1	19	2	7	1	2	1	1	11				1	/team/109/14781	UC Irvine		5	32	7	1	1	13	1	5	6	2			9	2				0
4708825	02/16/2019	/team/756/14781	Washington		1	34	5		1	7		1	1			1	8					/team/109/14781	UC Irvine		2	28	3	1		7	1	2	1	1			10	1				0
4708827	02/17/2019	/team/392/14781	Maryland		5	32	9	2		11		5	6	1	1	3	8		1			/team/740/14781	VCU		3	34	8			8		1	8	3			7				2	1
4708821	02/18/2019	/team/458/14781	Charlotte		6	32	7	2		9		5	2	3			9	1				/team/147/14781	Clemson		7	31	9			21	4	6	5		1		6				5	0
4712284	02/22/2019	/team/272/14781	Hartford	1	5	34	8	2		10		5	1		1		12					/team/104/14781	UC Santa Barbara	1	10	36	11	2	1	18	1	8	3	3			6				5	0
4708644	02/16/2019	/team/748/14781	Wagner		1	33	7	1		8		1	3				10	1				/team/627/14781	San Diego		3	29	8	1		12	1	3	4	1		1	7	2				0
4705169	02/15/2019	/team/180/14781	Delaware		1	32	7			7		1	5	1			9	1	1			/team/458/14781	Charlotte		3	27	4			7	1	2	3	1	1		9				3	0
4708641	02/16/2019	/team/416/14781	Michigan St.		1	36	11	1		12		1	1	1			4	1			1	/team/474/14781	New Orleans		4	30	8	2		10		4	3	2	1		8				1	0
