school,coeff,rank
Abilene Christian,-1.1307519707375133,191
Air Force,0.8045512221470885,112
Alabama,2.0860432979868593,65
Alabama A&M,-4.438017838774451,277
Alabama St.,-3.1861987125890616,246
Albany (NY),-5.429374568400211,288
Alcorn,-7.390741260936024,296
Appalachian St.,0.1450482627730536,143
Arizona,2.7653075301209746,43
Arizona St.,5.765473491624226,2
Ark.-Pine Bluff,-5.6121953266820075,289
Arkansas,4.314048541819609,10
Arkansas St.,2.198743438304204,58
Army West Point,-0.16192988218864124,156
Auburn,2.9767833673214836,39
Austin Peay,0.15255158417417758,142
Ball St.,0.406240694727944,127
Baylor,3.788278303824349,23
Belmont,-1.8698366072393247,217
Bethune-Cookman,-4.113167707374107,272
Binghamton,-1.3482864964365733,196
Boston College,0.9744471598320591,103
Bowling Green,-2.6308715478304086,237
Bradley,0.4177632146683232,126
Brown,-4.133643331333037,273
Bryant,1.7690582318316594,75
Bucknell,-3.4966302176289172,254
Butler,0.2469511865490579,137
BYU,3.8666737576127703,19
Cal Poly,1.1014548691602017,97
Cal St. Fullerton,1.8666370807289607,73
California,3.4201785891530365,32
California Baptist,0.9856698708504646,102
Campbell,0.33220802114973813,133
Canisius,-1.2890852613424773,194
Central Ark.,0.39978050455880854,128
Central Conn. St.,-3.029497392986796,242
Central Mich.,0.39386634388829345,130
Charleston So.,-2.55119113362308,234
Charlotte,-1.3424533994158325,195
Chicago St.,-3.6686328768472762,258
Cincinnati,-1.517447130558797,201
Clemson,3.9670435322750315,17
Coastal Caro.,4.559296687767172,7
Col. of Charleston,1.0235476472267888,100
Columbia,-0.3423425407942944,164
Coppin St.,-3.724427747930654,262
Cornell,-1.8150962656942784,213
Creighton,2.5316592261987974,46
CSU Bakersfield,-0.3892515966860344,168
CSUN,0.9611126788993151,104
Dartmouth,-2.4677610739956277,232
Davidson,-0.3919162219483616,169
Dayton,0.268673199133841,134
DBU,3.4293431651561903,30
Delaware,-4.200527617637244,275
Delaware St.,-6.0443115296960315,290
Duke,1.1820820769240623,95
East Carolina,2.972416229764577,40
Eastern Ill.,-0.053929947960544844,152
Eastern Ky.,-0.8949395204003496,183
Eastern Mich.,-3.541794893697494,255
Elon,0.46466042967501364,123
ETSU,1.505128793613253,84
Evansville,2.187615991989541,59
Fairfield,-1.645040079882971,204
Fairleigh Dickinson,-7.162084880675658,295
FGCU,0.8199771256750513,110
FIU,-1.763575014671498,210
Fla. Atlantic,1.0900033466237142,99
Florida,2.707854353883979,44
Florida A&M,-3.8370493114734012,263
Florida St.,0.49082655382281964,121
Fordham,-1.141296023039778,193
Fresno St.,2.3761617084202804,52
Furman,-0.9219841782546412,184
Ga. Southern,1.514398569828319,83
Gardner-Webb,-2.4303260563627544,230
George Mason,-4.748689027629266,283
George Washington,-2.654196643055963,238
Georgetown,-3.174676293174108,244
Georgia,3.3775298682762074,33
Georgia St.,-1.8498331313621705,215
Georgia Tech,3.7535025426022415,25
Gonzaga,3.05209729159468,38
Grambling,-4.674650684198757,282
Grand Canyon,1.9111668739894565,71
Hartford,-1.7503302588612508,209
Harvard,-0.04774981335147577,151
Hawaii,0.5556145344626837,119
High Point,-1.6221397700147062,203
