player_id	player_name	team_id	team_name	jersey	year	pos	played	started	Games	BA	OBPpct	SLGpct	AB	R	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	SB	CS	Picked
1531101	Choruby, Nick	697	Texas A&M	18	Sr	INF	64	63		0.321	0.441	0.415	246	55	79	10	2	102	3	33	49	4		7	50	1	11	7	
1873452	Shewmake, Braden	697	Texas A&M	8	Fr	INF	64	64		0.328	0.374	0.529	274	47	90	18	2	145	11	69	15	6	2		31	5	11	5	
1752731	Janca, George	697	Texas A&M	44	So	INF	64	60		0.261	0.309	0.416	226	40	59	9	4	94	6	30	12	4	1	7	58	6	3	1	
1752726	Homan, Austin	697	Texas A&M	25	Sr	INF	64	62		0.218	0.313	0.273	216	31	47	10	1	59		28	26	5	2	11	56	6	5	3	
1873438	Kopetsky, Blake	697	Texas A&M	13	Sr	OF	63	48		0.302	0.350	0.412	199	33	60	12	2	82	2	20	12	3		8	53	1	4	4	
1752690	Pennington, Walker	697	Texas A&M	9	Sr	OF	57	43		0.215	0.319	0.354	158	24	34	8	1	56	4	35	19	6	2	4	48	1	7	2	
1752691	Davis, Joel	697	Texas A&M	17	Sr	INF	56	55		0.249	0.356	0.378	201	40	50	4	2	76	6	30	26	9	3	2	41	3	7	5	
1649807	Bedford, Cole	697	Texas A&M	54	So	C	52	44		0.301	0.351	0.438	176	24	53	13	1	77	3	27	11	4	3	7	38	4	3		
1873443	Foster, Logan	697	Texas A&M	5	Fr	OF	52	44		0.280	0.333	0.489	186	33	52	13	4	91	6	24	15				59	5	3	1	
1873441	Coleman, Hunter	697	Texas A&M	10	Fr	C	48	42		0.283	0.380	0.441	152	29	43	7	1	67	5	22	20	5	2		34	4			
1873445	Guiterrez, Jorge	697	Texas A&M	3	Fr	INF	34	22		0.222	0.347	0.432	81	13	18	3	1	35	4	16	14	2	1		27	3	2		
1752734	Chafin, Kaylor	697	Texas A&M	56	Jr	P	33	1										0											
1649815	Sherrod, Cason	697	Texas A&M	21	Jr	P	30	0										0											
1873454	Blake, Cameron	697	Texas A&M	4	Fr	OF	27	19		0.214	0.389	0.214	56	5	12			12		9	15	1		1	20	1		2	
1752728	Kilkenny, Mitchell	697	Texas A&M	34	So	P	26	5										0											
1873442	Doxakis, John	697	Texas A&M	14	Fr	P	25	7										0											
1649810	Martin, Corbin	697	Texas A&M	12	Jr	P	24	13										0											
1873451	Schoenvogel, Blaine	697	Texas A&M	36	Jr	C	21	6		0.250	0.417	0.536	28	7	7	2		15	2	4	8				8				
