team_id	team_name	team_ERA	team_IP	team_H	team_R	team_ER	team_BB	team_SO	team_SHO	team_BF	team_POAB	team_2BA	team_3BA	team_BK	team_HRA	team_WP	team_HB	team_IBB	team_SHA	team_SFA	team_GO	team_FO	team_KL	opp_team_ERA	opp_team_IP	opp_team_H	opp_team_R	opp_team_ER	opp_team_BB	opp_team_SO	opp_team_SHO	opp_team_BF	opp_team_POAB	opp_team_2BA	opp_team_3BA	opp_team_BK	opp_team_HRA	opp_team_WP	opp_team_HB	opp_team_IBB	opp_team_SHA	opp_team_SFA	opp_team_GO	opp_team_FO	opp_team_KL
697	Texas A&M	3.48	587.0	525	269	227	213	574	3	2,511	2,189	97	7	3	41	49	50	8	43	15	616	484	138	5.04	571.2	608	389	320	246	537	2	2,591	2,230	110	21	12	52	60	52	9	47	16	582	507	155
694	Tennessee	3.98	466.1	454	243	206	168	398	2	2,031	1,784	83	11	2	36	41	44	5	21	14	475	458	129	4.30	462.1	452	256	221	212	392	4	2,061	1,754	77	13	9	33	40	54	7	21	19	468	448	95
334	Kentucky	3.85	576.2	496	281	247	217	583	4	2,473	2,154	101	6	5	68	32	63	8	24	13	527	542	150	6.95	563.0	706	484	435	310	415	1	2,723	2,235	148	10	7	73	64	92	7	57	28	561	596	122
31	Arkansas	3.61	564.0	487	254	226	207	619	7	2,397	2,095	86	4	5	53	44	56	2	23	15	488	509	179	6.24	543.1	627	422	377	258	463	3	2,571	2,194	97	13	8	83	74	63	14	25	24	510	598	116
736	Vanderbilt	3.71	558.2	464	271	230	227	544	5	2,391	2,062	85	9	3	47	56	59	5	27	16	572	485	157	5.93	546.0	599	409	360	287	475	3	2,528	2,141	114	17	11	51	58	43	7	34	22	531	550	108
37	Auburn	4.36	562.0	559	303	272	181	485	7	2,439	2,148	109	10	5	41	44	45	11	40	23	583	547	113	4.96	547.2	579	363	302	280	445	4	2,498	2,115	124	13	6	30	61	52	9	17	32	545	543	126
433	Ole Miss	3.60	505.1	451	247	202	163	524	6	2,138	1,879	97	8	5	45	43	46	8	32	16	432	481	144	4.33	494.2	466	272	238	211	431	3	2,148	1,843	96	5	4	47	70	41	5	30	23	456	516	116
648	South Carolina	3.72	540.0	470	257	223	219	563	4	2,310	2,015	78	10	4	48	44	43	12	20	13	484	486	160	4.42	525.1	524	305	258	218	383	3	2,338	2,019	95	8	4	58	54	49	12	34	17	552	562	114
235	Florida	3.45	644.1	621	281	247	219	649	10	2,765	2,453	113	12	7	34	34	52	5	31	10	689	489	195	5.06	620.2	605	380	349	313	496	2	2,774	2,338	108	6	7	53	59	58	7	27	37	633	623	134
8	Alabama	4.83	484.2	516	306	260	260	421	1	2,215	1,867	86	6	9	27	88	35	17	27	23	510	437	103	4.51	481.1	476	280	241	207	408	1	2,134	1,812	90	6	9	46	66	52	7	38	25	462	490	111
434	Missouri	3.67	532.0	449	272	217	192	505	6	2,279	1,968	81	7	8	45	27	69	3	30	16	585	418	151	4.88	518.0	522	347	281	277	514	1	2,370	1,993	108	11	12	52	67	45	2	22	30	487	470	130
365	LSU	3.59	639.2	540	281	255	273	626	10	2,721	2,361	99	5	4	60	55	45	21	28	12	549	652	173	6.28	613.1	702	482	428	292	426	2	2,897	2,425	120	12	6	69	66	101	20	41	37	615	705	101
257	Georgia	5.03	502.1	504	313	281	237	477	5	2,282	1,941	97	7	4	45	69	53	11	33	17	504	466	112	3.99	501.0	491	257	222	187	440	3	2,188	1,908	94	6	1	40	51	51	12	28	14	482	502	126
430	Mississippi St.	4.94	599.1	540	353	329	357	562	3	2,723	2,215	92	8	8	40	74	71	23	52	26	563	599	152	4.90	587.2	648	373	320	223	561	1	2,643	2,282	116	15	14	59	56	75	26	35	28	560	526	122
