game_id,game_date,site,team_id,team_name	Player	Pos	G	R	AB	H	2B	3B	TB	HR	RBI	BB	HBP	SF	SH	K	DP	CS	Picked	SB	RBI2out
4372797	05/12/2017	Away	/team/648/12560	South Carolina		4	35	7	4		14	1	4	1				9				
4372797	05/12/2017	Home	/team/434/12560	Missouri		3	33	6	2	1	10		2	3				11		1		
4372195	05/11/2017	Away	/team/37/12560	Auburn			32	5	1		6				1			9				1
4372195	05/11/2017	Home	/team/365/12560	LSU		4	27	6	1		7		4	6	1	1	2	5				
4338612	04/02/2017	Away	/team/257/12560	Georgia		3	32	8	2		10		3	1	3		1	9	1			1
4338612	04/02/2017	Home	/team/694/12560	Tennessee		1	30	3			6	1	1	8				12	1			1
4306386	03/04/2017	Away	/team/104/12560	UC Santa Barbara		2	32	7	3		10		2	2		1	1	6		1		
4306386	03/04/2017	Home	/team/334/12560	Kentucky		3	28	7	2		12	1	3	5	2		1	4	1			1
4293523	02/17/2017	Away	/team/786/12560	William & Mary		4	32	6		1	11	1	4	3				12				
4293523	02/17/2017	Home	/team/235/12560	Florida		5	33	8			8		4	5	1			10	1			4
4298051	02/24/2017	Away	/team/81/12560	Bryant		8	36	10	2		18	2	7	6	2			11	1			
4298051	02/24/2017	Home	/team/31/12560	Arkansas		11	32	7	1	1	13	1	10	6	4	1		9				1
4311148	03/07/2017	Away	/team/1004/12560	Central Ark.		5	33	7	3		10		5	6			1	7	1			
4311148	03/07/2017	Home	/team/736/12560	Vanderbilt		10	32	10	3		16	1	10	7			2	7	1			
4313295	03/09/2017	Away	/team/414/12560	Miami (OH)		4	28	3			3		4	2	4	1		10	1			
4313295	03/09/2017	Home	/team/334/12560	Kentucky		6	30	11	1		12		6	4	1	1	3	3				3
4311061	03/07/2017	Away	/team/646/12560	South Ala.		14	33	14	1		18	1	14	7	2		1	5	1			
4311061	03/07/2017	Home	/team/37/12560	Auburn		3	25	5	1		6		3	2				6	1			
4370273	05/06/2017	Away	/team/8/12560	Alabama		4	36	9	1		16	2	4	4			1	3	1			
4370273	05/06/2017	Home	/team/37/12560	Auburn		3	34	8	2		10		3	4				3	3			1
4329089	03/24/2017	Away	/team/433/12560	Ole Miss		2	34	7	2		15	2	2					10				
4329089	03/24/2017	Home	/team/334/12560	Kentucky		4	30	10	2		15	1	4	3		1	1	8	1			4
4315332	03/11/2017	Away	/team/244/12560	Furman			31	4			4			1				10				
4315332	03/11/2017	Home	/team/433/12560	Ole Miss		5	27	3			6	1	3	2	1	1		1				2
4298195	02/24/2017	Away	/team/460/12560	UNCW		2	31	3	1		7	1	1	2				10				
4298195	02/24/2017	Home	/team/433/12560	Ole Miss		7	28	8			14	2	7	5		1		4	1	1		1
4355218	04/18/2017	Away	/team/669/12560	Missouri St.		5	31	6	2		11	1	3	4	1		1	9		1		
4355218	04/18/2017	Home	/team/434/12560	Missouri		3	36	10	2		12		3	1		1	1	10	1			1
4319013	03/14/2017	Away	/team/9/12560	UAB			31	6			6			1				6	2			
4319013	03/14/2017	Home	/team/37/12560	Auburn		4	31	7	2		9		4	4	1			7	1			2
4326606	03/21/2017	Away	/team/37/12560	Auburn		7	37	11	6		17		6	4	1			10	1			1
4326606	03/21/2017	Home	/team/255/12560	Georgia Tech		4	31	5			14	3	4	5	2			4	1			1
4355212	04/18/2017	Away	/team/173/12560	Davidson		2	37	7	1		14	2	2	1	1			13				1
4355212	04/18/2017	Home	/team/648/12560	South Carolina		3	24	3	2		5		3	6	3		2	2	1	1		2
4360570	04/23/2017	Away	/team/694/12560	Tennessee		5	49	10	3		13		5	8	2		2	17	1			2
4360570	04/23/2017	Home	/team/697/12560	Texas A&M		3	52	12			12		3	5	2		1	13	1	1		1
4297979	02/24/2017	Away	/team/305/12560	Indiana St.		6	34	9	1		13	1	6	1	1	1		6	1			
4297979	02/24/2017	Home	/team/430/12560	Mississippi St.		11	33	12	4		22	2	11	5	3	1	1	7	1			6
4303069	02/28/2017	Away	/team/625/12560	Samford		7	35	12	1		13		7	9		1		7	1	2		
4303069	02/28/2017	Home	/team/37/12560	Auburn		6	31	7	1		8		6	6	3	2		3	2			1
4293239	02/17/2017	Away	/team/334/12560	Kentucky		1	34	7	1		8		1	2	2			15	1			1
4293239	02/17/2017	Home	/team/457/12560	North Carolina		3	36	12	1		13		3	1				3	2			
4315033	03/11/2017	Away	/team/140/12560	Cincinnati		1	27	4			4		1	3	1		1	4	1	1		2
4315033	03/11/2017	Home	/team/694/12560	Tennessee		2	32	6	1		10	1	2	5				6				
4341806	04/05/2017	Away	/team/1104/12560	Grand Canyon		1	36	11			14	1	1	2				18	1			2
4341806	04/05/2017	Home	/team/31/12560	Arkansas		6	34	9	2		14	1	6	1	1	1		8				
4351388	04/14/2017	Away	/team/235/12560	Florida			30	3			3							13				
4351388	04/14/2017	Home	/team/736/12560	Vanderbilt		2	31	11	3		14		2	1		1	1	8		2		
4371126	05/06/2017	Away	/team/430/12560	Mississippi St.		4	36	7	2		9		3					13				
4371126	05/06/2017	Home	/team/697/12560	Texas A&M		3	29	5			11	2	3	6	2		2	8		1		1
4335972	03/31/2017	Away	/team/257/12560	Georgia		5	32	4			4		5	6	3			10				
4335972	03/31/2017	Home	/team/694/12560	Tennessee		6	33	11	1	1	17	1	6	4				10				2
4330453	03/25/2017	Away	/team/37/12560	Auburn		1	34	9	1		10		1	4	1			7	2			2
4330453	03/25/2017	Home	/team/257/12560	Georgia		4	31	10	3		13		4	1	1	1		6	2			
4376827	06/12/2017	Away	/team/749/12560	Wake Forest			31	4	1		5			1				13				
4376827	06/12/2017	Home	/team/235/12560	Florida		3	31	10	1		14	1	3	2			1	8	1	1		1
4376826	06/11/2017	Away	/team/235/12560	Florida		6	38	8	1		15	2	6	3	2	2		10		1		1
4376826	06/11/2017	Home	/team/749/12560	Wake Forest		8	44	17	1		33	5	8	5			1	12	1			1
4339142	04/02/2017	Away	/team/235/12560	Florida		2	28	5	2		10	1	2	3	1			5	4			1
4339142	04/02/2017	Home	/team/434/12560	Missouri		1	31	7	1		8			7	1			7	2			
4375637	05/23/2017	Neutral	/team/434/12560	Missouri		12	38	11	2		22	3	11	7	2		2	5	1			3
4375637	05/23/2017	Neutral	/team/697/12560	Texas A&M		7	33	9	2		11		6	5	3		2	9		1		
4327514	03/22/2017	Away	/team/655/12560	Southeastern La.		2	28	5	1		12	2	2	3	1			10	2	2		2
4327514	03/22/2017	Home	/team/365/12560	LSU		8	33	10	4		17	1	8	4	1	1		4		1		1
4299579	02/25/2017	Away	/team/392/12560	Maryland			28	1			1			3	1			6				
4299579	02/25/2017	Home	/team/365/12560	LSU		14	37	18	2	3	26		12	3	3	2	1	8	1			2
4335873	03/31/2017	Away	/team/430/12560	Mississippi St.		5	37	13	1	1	22	2	5	1	1			14		2		1
4335873	03/31/2017	Home	/team/433/12560	Ole Miss		3	35	11	3		14		3	4			1	8				
4374591	05/18/2017	Away	/team/31/12560	Arkansas		6	43	15	1		22	2	6	3			2	10	1	1		1
4374591	05/18/2017	Home	/team/697/12560	Texas A&M		4	34	6	1		10	1	4	2	1	1		12	2	1		1
