team_id	team_name	team_games	team_BA	team_OBPpct	team_SLGpct	team_AB	team_R	team_H	team_2B	team_3B	team_TB	team_HR	team_RBI	team_BB	team_HBP	team_SF	team_SH	team_K	team_DP	team_SB	team_CS	team_Picked	opp_team_games	opp_team_BA	opp_team_OBPpct	opp_team_SLGpct	opp_team_AB	opp_team_R	opp_team_H	opp_team_2B	opp_team_3B	opp_team_TB	opp_team_HR	opp_team_RBI	opp_team_BB	opp_team_HBP	opp_team_SF	opp_team_SH	opp_team_K	opp_team_DP	opp_team_SB	opp_team_CS	opp_team_Picked
768	West Virginia		0.287	0.370	0.432	1,959	341	563	116	21		42	313	240	37	33	49	380	52	64	39			0.250	0.336	0.357	1,925	278	481	91	10		32	247	208	51	21	34	518	43	36	20	
2711	North Florida		0.317	0.394	0.446	2,065	413	654	107	9		47	376	227	50	18	47	278	56	33	13			0.263	0.327	0.357	1,963	248	516	70	6		34	235	161	36	21	39	405	59	27	22	
669	Missouri St.		0.299	0.391	0.500	2,052	440	614	121	26		80	412	273	55	29	25	391	41	44	12			14.395	19.934	20.308	1,947	307	488	109	18		20	271	259	44	23	36	524	50	35	24	
665	Southern U.		0.259	0.371	0.359	1,462	246	379	69	13		17	215	176	98	23	18	330	24	77	16			0.318	0.436	0.490	1,530	422	486	96	16		45	365	274	70	30	21	279	36	94	23	
664	Southern Miss.		0.305	0.403	0.471	2,038	419	621	115	11		67	392	277	78	27	40	395	61	29	28			0.267	0.359	0.377	2,038	285	544	99	12		34	261	230	72	16	35	454	52	41	23	
219	Evansville		0.271	0.365	0.414	1,922	317	520	103	10		51	283	234	60	17	15	398	57	31	13			0.269	0.355	0.385	1,879	288	505	83	20		32	265	202	56	14	30	366	47	34	21	
769	Western Caro.		0.304	0.403	0.461	2,139	453	651	94	13		72	411	274	98	27	43	346	60	91	32			0.301	0.402	0.486	2,139	438	643	116	20		80	404	318	64	30	43	512	56	52	38	
498	La.-Monroe		0.231	0.321	0.339	1,783	244	412	89	7		30	212	191	54	17	49	392	40	19	29			0.282	0.384	0.412	1,866	351	526	99	16		37	294	240	85	27	35	373	38	62	32	
136	Chicago St.		0.227	0.324	0.301	1,720	207	390	61	14		13	179	214	40	15	18	380	49	53	25			0.310	0.412	0.444	1,824	420	566	123	23		25	367	289	45	28	34	312	37	104	30	
90	Cal Poly		0.270	0.361	0.361	1,888	291	510	87	14		19	258	239	47	29	43	357	41	35	20			0.283	0.345	0.376	1,956	288	553	103	17		15	251	161	33	17	39	456	44	36	29	
